timestamp,recv_fps,det_fps,cpu_util,gpu_util
2026-07-05 11:24:56,144138.45,20.04,51.6,86.0
2026-07-05 11:24:56,142461.2,20.02,43.2,86.0
2026-07-05 11:24:57,142461.2,20.02,22.0,0.0
2026-07-05 11:24:57,150956.28,20.43,60.7,85.0
2026-07-05 11:24:58,151041.32,20.59,50.7,85.0
2026-07-05 11:24:58,151041.32,20.59,12.8,0.0
2026-07-05 11:24:59,148580.72,20.53,41.2,0.0
2026-07-05 11:24:59,150082.49,20.65,46.4,0.0
2026-07-05 11:25:00,145395.17,19.5,48.4,92.0
2026-07-05 11:25:00,145395.17,19.5,16.8,0.0
2026-07-05 11:25:01,145395.17,19.5,16.0,0.0
2026-07-05 11:25:01,151364.66,20.12,34.6,2.0
2026-07-05 11:25:02,159058.32,20.68,51.6,84.0
2026-07-05 11:25:02,159527.74,20.12,34.5,84.0
2026-07-05 11:25:03,159527.74,20.12,20.9,0.0
2026-07-05 11:25:03,159527.74,20.12,20.6,0.0
2026-07-05 11:25:04,159768.15,20.51,50.6,86.0
2026-07-05 11:25:04,155448.57,20.37,54.4,87.0
2026-07-05 11:25:05,153957.12,20.09,37.2,87.0
2026-07-05 11:25:05,153957.12,20.09,14.5,0.0
2026-07-05 11:25:06,153065.49,21.24,45.9,0.0
2026-07-05 11:25:07,152503.5,21.1,47.1,85.0
2026-07-05 11:25:07,151950.95,20.24,46.3,85.0
2026-07-05 11:25:07,156354.38,20.41,44.4,88.0
2026-07-05 11:25:08,160976.28,19.85,41.3,88.0
2026-07-05 11:25:08,161836.86,20.16,41.1,87.0
2026-07-05 11:25:09,164461.94,20.05,30.4,87.0
2026-07-05 11:25:09,164461.94,20.05,17.1,0.0
2026-07-05 11:25:10,171824.57,20.69,41.7,88.0
2026-07-05 11:25:11,154362.74,20.46,44.4,86.0
2026-07-05 11:25:11,153655.02,20.04,46.1,86.0
2026-07-05 11:25:11,150248.46,20.24,41.1,89.0
2026-07-05 11:25:12,152670.91,19.61,47.6,88.0
2026-07-05 11:25:12,153236.34,19.88,43.3,87.0
2026-07-05 11:25:13,151785.32,19.67,40.6,87.0
2026-07-05 11:25:13,156546.99,19.82,39.6,84.0
2026-07-05 11:25:14,154667.95,19.39,49.6,84.0
2026-07-05 11:25:14,153271.55,19.8,49.1,86.0
2026-07-05 11:25:15,155707.19,19.75,48.3,88.0
